Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
154,33,4,48,3,Some Random Commen with Id 154
155,33,4,64,1,Some Random Commen with Id 155
156,33,4,163,8,Some Random Commen with Id 156
157,33,4,84,4,Some Random Commen with Id 157
158,33,4,170,7,Some Random Commen with Id 158
159,33,4,43,7,Some Random Commen with Id 159
160,34,8,112,5,Some Random Commen with Id 160
161,34,8,153,7,Some Random Commen with Id 161
162,34,8,147,6,Some Random Commen with Id 162
163,34,8,17,3,Some Random Commen with Id 163
164,34,8,75,5,Some Random Commen with Id 164
165,34,8,164,7,Some Random Commen with Id 165
166,34,8,107,2,Some Random Commen with Id 166
167,34,8,148,9,Some Random Commen with Id 167
168,35,3,158,6,Some Random Commen with Id 168
169,35,3,199,1,Some Random Commen with Id 169
170,35,3,8,1,Some Random Commen with Id 170
171,35,3,180,0,Some Random Commen with Id 171
172,35,3,196,6,Some Random Commen with Id 172
173,35,3,15,7,Some Random Commen with Id 173
174,38,9,27,9,Some Random Commen with Id 174
175,38,9,180,5,Some Random Commen with Id 175
176,39,7,104,3,Some Random Commen with Id 176
177,39,7,7,3,Some Random Commen with Id 177
178,39,7,133,7,Some Random Commen with Id 178
179,39,7,39,4,Some Random Commen with Id 179
180,39,7,105,8,Some Random Commen with Id 180
181,39,7,24,1,Some Random Commen with Id 181
182,39,7,185,7,Some Random Commen with Id 182
